feat,imp
ALT_Normal,0.0
0,0.01231099913063815
lansoprazole,0.015242273733289678
75.0,0.016173193951841892
Constipation,0.016699493795606094
Albuterol 0.83 MG/ML Inhalation Solution,0.02928800970506863
Omeprazole,0.049378400906396815
NDA019430 0.3 ML Epinephrine 0.5 MG/ML Auto-Injector,0.06635051690216029
Gastroesophageal reflux disease,0.19966848710135549
mometasone furoate 1 MG/ML Topical Cream,0.22531713427243052
90.0,0.2955953513076322
Dexamethasone phosphate 10 MG/ML Injectable Solution,0.33426516280127355
Epinephrine 0.5 MG/ML,0.38269507179953605
Albuterol 5 MG/ML Inhalation Solution,0.3999037039223672
Ipratropium Bromide 0.2 MG/ML Inhalation Solution,0.41918917874098016
Glycopyrrolate 0.2 MG/ML Injectable Solution,1.0
